endpoint,year,session_key,manifest_status,manifest_record_count,manifest_output_path,file_exists,file_path,file_row_count,row_count_delta,reconciliation_status,issue_type,notes
drivers,2024,9662.0,success,20,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/drivers/year=2024/session_key=9662.jsonl,True,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/drivers/year=2024/session_key=9662.jsonl,20.0,0.0,matched,none,
drivers,2024,9672.0,success,20,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/drivers/year=2024/session_key=9672.jsonl,True,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/drivers/year=2024/session_key=9672.jsonl,20.0,0.0,matched,none,
drivers,2024,9673.0,success,20,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/drivers/year=2024/session_key=9673.jsonl,True,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/drivers/year=2024/session_key=9673.jsonl,20.0,0.0,matched,none,
drivers,2025,9693.0,success,20,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/drivers/year=2025/session_key=9693.jsonl,True,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/drivers/year=2025/session_key=9693.jsonl,20.0,0.0,matched,none,
drivers,2025,9839.0,success,20,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/drivers/year=2025/session_key=9839.jsonl,True,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/drivers/year=2025/session_key=9839.jsonl,20.0,0.0,matched,none,
drivers,2025,9845.0,success,20,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/drivers/year=2025/session_key=9845.jsonl,True,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/drivers/year=2025/session_key=9845.jsonl,20.0,0.0,matched,none,
drivers,2025,9850.0,success,20,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/drivers/year=2025/session_key=9850.jsonl,True,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/drivers/year=2025/session_key=9850.jsonl,20.0,0.0,matched,none,
drivers,2025,9858.0,success,20,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/drivers/year=2025/session_key=9858.jsonl,True,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/drivers/year=2025/session_key=9858.jsonl,20.0,0.0,matched,none,
drivers,2025,9864.0,success,20,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/drivers/year=2025/session_key=9864.jsonl,True,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/drivers/year=2025/session_key=9864.jsonl,20.0,0.0,matched,none,
drivers,2025,9869.0,success,20,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/drivers/year=2025/session_key=9869.jsonl,True,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/drivers/year=2025/session_key=9869.jsonl,20.0,0.0,matched,none,
drivers,2025,9877.0,success,20,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/drivers/year=2025/session_key=9877.jsonl,True,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/drivers/year=2025/session_key=9877.jsonl,20.0,0.0,matched,none,
drivers,2025,9883.0,success,20,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/drivers/year=2025/session_key=9883.jsonl,True,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/drivers/year=2025/session_key=9883.jsonl,20.0,0.0,matched,none,
drivers,2025,9888.0,success,20,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/drivers/year=2025/session_key=9888.jsonl,True,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/drivers/year=2025/session_key=9888.jsonl,20.0,0.0,matched,none,
drivers,2025,9896.0,success,20,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/drivers/year=2025/session_key=9896.jsonl,True,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/drivers/year=2025/session_key=9896.jsonl,20.0,0.0,matched,none,
drivers,2025,9904.0,success,20,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/drivers/year=2025/session_key=9904.jsonl,True,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/drivers/year=2025/session_key=9904.jsonl,20.0,0.0,matched,none,
drivers,2025,9912.0,success,20,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/drivers/year=2025/session_key=9912.jsonl,True,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/drivers/year=2025/session_key=9912.jsonl,20.0,0.0,matched,none,
drivers,2025,9920.0,success,20,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/drivers/year=2025/session_key=9920.jsonl,True,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/drivers/year=2025/session_key=9920.jsonl,20.0,0.0,matched,none,
drivers,2025,9928.0,success,20,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/drivers/year=2025/session_key=9928.jsonl,True,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/drivers/year=2025/session_key=9928.jsonl,20.0,0.0,matched,none,
drivers,2025,9934.0,success,20,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/drivers/year=2025/session_key=9934.jsonl,True,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/drivers/year=2025/session_key=9934.jsonl,20.0,0.0,matched,none,
drivers,2025,9939.0,success,20,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/drivers/year=2025/session_key=9939.jsonl,True,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/drivers/year=2025/session_key=9939.jsonl,20.0,0.0,matched,none,
drivers,2025,9947.0,success,20,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/drivers/year=2025/session_key=9947.jsonl,True,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/drivers/year=2025/session_key=9947.jsonl,20.0,0.0,matched,none,
drivers,2025,9955.0,success,20,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/drivers/year=2025/session_key=9955.jsonl,True,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/drivers/year=2025/session_key=9955.jsonl,20.0,0.0,matched,none,
drivers,2025,9963.0,success,20,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/drivers/year=2025/session_key=9963.jsonl,True,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/drivers/year=2025/session_key=9963.jsonl,20.0,0.0,matched,none,
drivers,2025,9971.0,success,19,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/drivers/year=2025/session_key=9971.jsonl,True,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/drivers/year=2025/session_key=9971.jsonl,19.0,0.0,matched,none,
drivers,2025,9979.0,success,20,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/drivers/year=2025/session_key=9979.jsonl,True,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/drivers/year=2025/session_key=9979.jsonl,20.0,0.0,matched,none,
drivers,2025,9987.0,success,20,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/drivers/year=2025/session_key=9987.jsonl,True,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/drivers/year=2025/session_key=9987.jsonl,20.0,0.0,matched,none,
drivers,2025,9993.0,success,20,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/drivers/year=2025/session_key=9993.jsonl,True,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/drivers/year=2025/session_key=9993.jsonl,20.0,0.0,matched,none,
drivers,2025,9998.0,success,20,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/drivers/year=2025/session_key=9998.jsonl,True,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/drivers/year=2025/session_key=9998.jsonl,20.0,0.0,matched,none,
