endpoint,year,session_key,output_path,record_count,status,error_message,ingestion_timestamp_utc,manifest_source
laps,2023,9157.0,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/laps/year=2023/session_key=9157.jsonl,968,success,,2026-05-19T17:44:02+00:00,original
laps,2023,9165.0,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/laps/year=2023/session_key=9165.jsonl,1091,success,,2026-05-19T17:44:03+00:00,original
laps,2023,9173.0,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/laps/year=2023/session_key=9173.jsonl,886,success,,2026-05-19T17:44:03+00:00,original
laps,2023,9181.0,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/laps/year=2023/session_key=9181.jsonl,1286,success,,2026-05-19T17:44:04+00:00,original
laps,2023,9189.0,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/laps/year=2023/session_key=9189.jsonl,949,success,,2026-05-19T17:44:04+00:00,original
laps,2023,9197.0,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/laps/year=2023/session_key=9197.jsonl,1159,success,,2026-05-19T17:44:05+00:00,original
laps,2023,9204.0,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/laps/year=2023/session_key=9204.jsonl,480,success,,2026-05-19T17:44:05+00:00,original
laps,2023,9205.0,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/laps/year=2023/session_key=9205.jsonl,1112,success,,2026-05-19T17:44:06+00:00,original
laps,2023,9212.0,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/laps/year=2023/session_key=9212.jsonl,379,success,,2026-05-19T17:44:06+00:00,original
laps,2023,9213.0,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/laps/year=2023/session_key=9213.jsonl,1017,success,,2026-05-19T17:44:07+00:00,original
laps,2023,9220.0,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/laps/year=2023/session_key=9220.jsonl,323,success,,2026-05-19T17:44:07+00:00,original
laps,2023,9221.0,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/laps/year=2023/session_key=9221.jsonl,1009,success,,2026-05-19T17:44:08+00:00,original
