endpoint,year,session_key,output_path,record_count,status,error_message,ingestion_timestamp_utc
drivers,2025,9928,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/drivers/year=2025/session_key=9928.jsonl,20,success,,2026-05-19T17:43:04+00:00
drivers,2025,9934,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/drivers/year=2025/session_key=9934.jsonl,20,success,,2026-05-19T17:43:04+00:00
drivers,2025,9939,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/drivers/year=2025/session_key=9939.jsonl,20,success,,2026-05-19T17:43:04+00:00
drivers,2025,9947,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/drivers/year=2025/session_key=9947.jsonl,20,success,,2026-05-19T17:43:05+00:00
drivers,2025,9955,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/drivers/year=2025/session_key=9955.jsonl,20,success,,2026-05-19T17:43:05+00:00
drivers,2025,9963,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/drivers/year=2025/session_key=9963.jsonl,20,success,,2026-05-19T17:43:05+00:00
drivers,2025,9971,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/drivers/year=2025/session_key=9971.jsonl,19,success,,2026-05-19T17:43:06+00:00
drivers,2025,9979,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/drivers/year=2025/session_key=9979.jsonl,20,success,,2026-05-19T17:43:06+00:00
drivers,2025,9987,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/drivers/year=2025/session_key=9987.jsonl,20,success,,2026-05-19T17:43:07+00:00
drivers,2025,9993,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/drivers/year=2025/session_key=9993.jsonl,20,success,,2026-05-19T17:43:07+00:00
drivers,2025,9998,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/drivers/year=2025/session_key=9998.jsonl,20,success,,2026-05-19T17:43:07+00:00
drivers,2025,10006,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/drivers/year=2025/session_key=10006.jsonl,20,success,,2026-05-19T17:43:08+00:00
drivers,2025,10014,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/drivers/year=2025/session_key=10014.jsonl,20,success,,2026-05-19T17:43:08+00:00
drivers,2025,10022,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/drivers/year=2025/session_key=10022.jsonl,20,success,,2026-05-19T17:43:08+00:00
drivers,2025,10028,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/drivers/year=2025/session_key=10028.jsonl,20,success,,2026-05-19T17:43:09+00:00
drivers,2025,10033,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/drivers/year=2025/session_key=10033.jsonl,20,success,,2026-05-19T17:43:09+00:00
laps,2023,7779,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/laps/year=2023/session_key=7779.jsonl,945,success,,2026-05-19T17:43:10+00:00
laps,2023,7787,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/laps/year=2023/session_key=7787.jsonl,1006,success,,2026-05-19T17:43:10+00:00
laps,2023,7953,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/laps/year=2023/session_key=7953.jsonl,1058,success,,2026-05-19T17:43:11+00:00
laps,2023,9069,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/laps/year=2023/session_key=9069.jsonl,309,success,,2026-05-19T17:43:11+00:00
laps,2023,9070,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/laps/year=2023/session_key=9070.jsonl,0,failed,HTTP 429 rate limit for laps params={'session_key': 9070},2026-05-19T17:43:17+00:00
laps,2023,9078,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/laps/year=2023/session_key=9078.jsonl,0,failed,HTTP 429 rate limit for laps params={'session_key': 9078},2026-05-19T17:43:22+00:00
laps,2023,9086,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/laps/year=2023/session_key=9086.jsonl,0,failed,HTTP 429 rate limit for laps params={'session_key': 9086},2026-05-19T17:43:27+00:00
laps,2023,9094,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/laps/year=2023/session_key=9094.jsonl,0,failed,HTTP 429 rate limit for laps params={'session_key': 9094},2026-05-19T17:43:33+00:00
laps,2023,9102,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/laps/year=2023/session_key=9102.jsonl,0,failed,HTTP 429 rate limit for laps params={'session_key': 9102},2026-05-19T17:43:38+00:00
laps,2023,9110,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/laps/year=2023/session_key=9110.jsonl,0,failed,HTTP 429 rate limit for laps params={'session_key': 9110},2026-05-19T17:43:43+00:00
laps,2023,9117,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/laps/year=2023/session_key=9117.jsonl,0,failed,HTTP 429 rate limit for laps params={'session_key': 9117},2026-05-19T17:43:49+00:00
laps,2023,9118,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/laps/year=2023/session_key=9118.jsonl,0,failed,HTTP 429 rate limit for laps params={'session_key': 9118},2026-05-19T17:43:54+00:00
laps,2023,9126,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/laps/year=2023/session_key=9126.jsonl,0,failed,HTTP 429 rate limit for laps params={'session_key': 9126},2026-05-19T17:43:59+00:00
laps,2023,9133,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/laps/year=2023/session_key=9133.jsonl,1255,success,,2026-05-19T17:44:00+00:00
laps,2023,9140,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/laps/year=2023/session_key=9140.jsonl,210,success,,2026-05-19T17:44:00+00:00
